Draft Year,Pick Number,NBA Team,Name,Age,College,Height,Weight,Dominant Hand,NBA Relatives,Seasons Played (College),POS,MPG,PPG,RPG,APG,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2011,14,HOU,Marcus Morris,,Kansas,6-9,235,Right,1,3,F,38,28.3,6.3,11.1,.570,0.7,2.0,.342,3.9,5.7,.688,2.6,7.6,1.6,0.8,0.6,1.8,2.6,17.2
2011,15,IND,Kawhi Leonard,,San Diego State,6-7,225,Right,0,2,F,36,32.6,5.9,13.2,.444,0.7,2.4,.291,3.1,4.0,.759,3.1,10.6,2.5,1.4,0.6,2.1,2.5,15.5
2011,16,PHI,Nikola VuÄeviÄ,,USC,6-10,220,Right,0,3,F,34,34.9,6.3,12.5,.505,0.9,2.4,.349,3.6,4.8,.755,2.9,10.3,1.6,0.5,1.4,1.7,2.8,17.1
2011,17,NYK,Iman Shumpert,,Georgia Tech,6-5,212,Right,0,3,G,31,32.0,5.7,14.1,.406,1.4,4.9,.278,4.5,5.6,.806,1.7,5.9,3.5,2.7,0.2,2.3,2.8,17.3
2011,18,WAS,Chris Singleton,,Florida State,6-9,220,Right,0,3,F,28,29.1,4.4,10.2,.434,1.3,3.4,.368,3.0,4.5,.667,2.1,6.8,1.2,2.0,1.5,2.2,3.2,13.1
2011,19,CHA,Tobias Harris,,Tennessee,6-8,226,Right,1,1,F,34,29.2,5.4,11.8,.460,0.7,2.2,.303,3.8,5.0,.753,2.0,7.3,1.3,0.7,0.9,1.8,2.1,15.3
2011,21,POR,Nolan Smith,,Duke,6-2,185,Right,1,4,G,37,34.0,7.0,15.4,.458,1.5,4.4,.350,5.1,6.2,.813,1.2,4.5,5.1,1.2,0.1,3.2,1.9,20.6
2011,22,DEN,Kenneth Faried,,Morehead State University,6-8,228,Right,0,4,F,35,34.7,6.7,10.7,.623,0.0,0.0,,4.0,6.9,.577,5.7,14.5,1.1,1.9,2.3,2.6,3.1,17.3
2011,24,OKC,Reggie Jackson,,Boston College,6-3,208,Right,0,3,G,34,34.1,6.4,12.8,.503,2.1,5.0,.420,3.2,4.0,.796,1.0,4.3,4.5,1.1,0.5,2.4,1.7,18.2
2011,25,BOS,MarShon Brooks,,Providence,6-5,200,Right,0,4,G,32,36.5,8.6,17.8,.483,2.1,6.2,.340,5.3,6.8,.772,2.3,7.0,2.5,1.5,1.2,3.1,2.5,24.6
2011,26,DAL,Jordan Hamilton,,Texas,6-7,220,Right,2,2,G,36,32.2,6.8,15.3,.440,2.5,6.5,.385,2.6,3.4,.779,2.0,7.7,2.1,0.9,0.6,2.1,1.8,18.6
2011,27,NJN,JaJuan Johnson,,Purdue,6-10,221,Right,0,4,F,34,35.4,7.6,15.3,.494,0.4,1.5,.294,5.0,6.1,.809,2.4,8.6,1.0,0.9,2.3,1.6,1.6,20.5
2011,28,CHI,Norris Cole,,Cleveland State University,6-2,170,Right,0,4,G,36,35.7,7.0,15.9,.439,1.4,4.1,.342,6.3,7.4,.853,0.8,5.8,5.3,2.2,0.1,2.7,2.4,21.7
2011,29,SAS,Cory Joseph,,Texas,6-3,185,Right,0,1,G,36,32.4,3.8,8.9,.422,1.4,3.5,.413,1.4,2.0,.699,0.6,3.6,3.0,1.0,0.3,1.5,1.8,10.4
2011,30,CHI,Jimmy Butler,,Marquette,6-7,220,Right,0,3,G,37,34.6,5.1,10.3,.490,0.5,1.6,.345,5.1,6.5,.783,2.4,6.1,2.3,1.4,0.4,1.5,1.3,15.7
2011,32,CLE,Justin Harper,,Richmond,6-10,225,Right,0,4,F,37,31.8,6.6,12.4,.534,2.1,4.6,.448,2.5,3.2,.797,1.7,6.9,1.2,0.6,1.2,1.5,2.2,17.9
2011,33,DET,Kyle Singler,,Duke,6-8,230,Right,1,4,F,37,34.8,5.9,13.8,.430,1.7,5.2,.321,3.4,4.2,.806,2.4,6.8,1.6,0.9,0.3,1.9,2.6,16.9
2011,34,WAS,Shelvin Mack,,Butler,6-3,215,Right,0,3,G,38,32.1,5.3,13.0,.408,2.3,6.5,.354,3.2,4.1,.769,0.7,4.5,3.4,0.8,0.1,2.4,1.7,16.0
2011,35,SAC,Tyler Honeycutt,,UCLA,6-9,180,Right,0,2,F,33,35.0,4.4,10.8,.406,1.7,4.6,.362,2.4,3.2,.736,1.5,7.2,2.8,0.9,2.0,3.0,1.6,12.8
