=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
C_PER                    : 0.032
C_OBPM                   : 0.031
C_ORB_DRB                : 0.030
C_STL%                   : 0.029
C_TRB/40                 : 0.029
C_AST%                   : 0.027
C_G                      : 0.026
C_DRtg                   : 0.026
C_BLK%                   : 0.026
CT_DRtg                  : 0.025
CT_Win%                  : 0.025
C_FTA/40                 : 0.020
C_FG%                    : 0.020
C_ORtg                   : 0.019
C_STL/40                 : 0.019
CT_ORtg                  : 0.019
C_GS%                    : 0.019
CT_SRS                   : 0.018
C_FT%                    : 0.017
C_AST_TO                 : 0.016
C_AST/40                 : 0.016
Weight                   : 0.015
BMI                      : 0.015
C_TOV/40                 : 0.014
C_3P%                    : 0.014
College Strength         : 0.013
C_3PA/40                 : 0.013
C_FGA/40                 : 0.013
Relatives                : 0.012
C_PTS/40                 : 0.012
Seasons Played (College) : 0.012
C_BLK_MPG                : 0.011
C_USG%                   : 0.011
C_BLK/40                 : 0.011
Height                   : 0.009
