Name,Draft Year,POS,Group,Predicted Tier,Actual Tier
David Johnson,2021,"PG,SG",Guards,1.14,0
Marcus Zegarowski,2021,PG,Guards,1.47,0
Aaron Wiggins,2021,SG,Guards,0.0,3
Scottie Lewis,2021,SG,Guards,0.57,0
Derrick Williams,2011,"PF,SF",Wings,3.11,0
Alec Burks,2011,"SG,SF",Wings,3.2,3
Kawhi Leonard,2011,SF,Wings,4.01,7
Chris Singleton,2011,"SF,PF",Wings,1.16,0
Tobias Harris,2011,"PF,SF",Wings,4.59,5
Jordan Hamilton,2011,SF,Wings,2.52,0
Jimmy Butler,2011,"SG,SF",Wings,2.02,7
Kyle Singler,2011,SF,Wings,0.61,3
Tyler Honeycutt,2011,SF,Wings,1.46,0
Chandler Parsons,2011,"SF,PF",Wings,1.34,5
Michael Kidd-Gilchrist,2012,"SF,PF",Wings,3.95,3
Harrison Barnes,2012,"PF,SF",Wings,1.73,5
Terrence Ross,2012,"SG,SF",Wings,0.33,3
Maurice Harkless,2012,"SF,PF",Wings,2.51,3
Royce White,2012,"SF,PF",Wings,3.51,0
Terrence Jones,2012,"SF,PF",Wings,2.31,3
Jared Sullinger,2012,"SF,PF",Wings,1.57,3
Jeff Taylor,2012,SF,Wings,1.72,0
Jae Crowder,2012,"SF,PF",Wings,1.02,3
Draymond Green,2012,"PF,SF",Wings,1.04,7
Quincy Acy,2012,"PF,SF",Wings,1.21,0
Quincy Miller,2012,"SF,PF",Wings,3.68,0
Khris Middleton,2012,"SF,SG",Wings,0.81,7
Mike Scott,2012,"SF,PF",Wings,0.46,3
Darius Miller,2012,SF,Wings,2.22,0
Kris Joseph,2012,SF,Wings,1.5,0
Robbie Hummel,2012,SF,Wings,2.09,0
Otto Porter Jr.,2013,"SF,PF",Wings,4.47,3
Shabazz Muhammad,2013,"SF,SG",Wings,2.17,0
Tony Snell,2013,"SG,SF",Wings,1.8,3
Solomon Hill,2013,"SF,PF",Wings,1.09,0
Reggie Bullock,2013,"SF,SG",Wings,1.87,3
Andre Roberson,2013,"SG,SF",Wings,0.93,3
Allen Crabbe,2013,"SG,SF",Wings,0.83,3
Tony Mitchell,2013,"SF,PF",Wings,0.15,0
James Ennis III,2013,"SF,SG",Wings,0.26,3
Deshaun Thomas,2013,"SF,PF",Wings,1.52,0
Sir'Dominic Pointer,2015,"SG,SF",Wings,1.57,0
Aaron Gordon,2014,"PF,SF",Wings,3.86,5
Julius Randle,2014,"SF,PF",Wings,2.69,7
Doug McDermott,2014,"SF,PF",Wings,0.85,3
T.J. Warren,2014,"SF,PF",Wings,1.64,3
Jordan Adams,2014,"SG,SF",Wings,3.46,0
Rodney Hood,2014,"SG,SF",Wings,2.39,3
P.J. Hairston,2014,"SF,SG",Wings,2.57,0
Kyle Anderson,2014,"SF,PF",Wings,3.25,3
K.J. McDaniels,2014,"SF,SG",Wings,1.81,0
Cleanthony Early,2014,SF,Wings,1.24,0
